2022-07-20 16:38:06,150 INFO    MainThread:8824 [wandb_setup.py:_flush():76] Configure stats pid to 8824
2022-07-20 16:38:06,151 INFO    MainThread:8824 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Nicor\.config\wandb\settings
2022-07-20 16:38:06,151 INFO    MainThread:8824 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Nicor\OneDrive\Documents\KolkowitzLab\Ellipse fitting\Learners\wandb\settings
2022-07-20 16:38:06,151 INFO    MainThread:8824 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-20 16:38:06,151 INFO    MainThread:8824 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Learner 1 wandb\\load_&_test_models.py', 'program': 'c:\\Users\\Nicor\\OneDrive\\Documents\\KolkowitzLab\\Ellipse fitting\\Learners\\Learner 1 wandb\\load_&_test_models.py'}
2022-07-20 16:38:06,156 INFO    MainThread:8824 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\Nicor\OneDrive\Documents\KolkowitzLab\Ellipse fitting\Learners\wandb\run-20220720_163806-3axy2pp0\logs\debug.log
2022-07-20 16:38:06,157 INFO    MainThread:8824 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\Nicor\OneDrive\Documents\KolkowitzLab\Ellipse fitting\Learners\wandb\run-20220720_163806-3axy2pp0\logs\debug-internal.log
2022-07-20 16:38:06,157 INFO    MainThread:8824 [wandb_init.py:init():495] calling init triggers
2022-07-20 16:38:06,157 INFO    MainThread:8824 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-07-20 16:38:06,157 INFO    MainThread:8824 [wandb_init.py:init():548] starting backend
2022-07-20 16:38:06,157 INFO    MainThread:8824 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-07-20 16:38:06,160 INFO    MainThread:8824 [backend.py:ensure_launched():217] starting backend process...
2022-07-20 16:38:06,219 INFO    MainThread:8824 [backend.py:ensure_launched():222] started backend process with pid: 18364
2022-07-20 16:38:06,219 INFO    MainThread:8824 [wandb_init.py:init():558] backend started and connected
2022-07-20 16:38:06,219 INFO    MainThread:8824 [wandb_init.py:init():634] updated telemetry
2022-07-20 16:38:06,219 INFO    MainThread:8824 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-07-20 16:38:07,407 INFO    MainThread:8824 [wandb_run.py:_on_init():1919] communicating current version
2022-07-20 16:38:07,549 INFO    MainThread:8824 [wandb_run.py:_on_init():1923] got version response 
2022-07-20 16:38:07,549 INFO    MainThread:8824 [wandb_init.py:init():700] starting run threads in backend
2022-07-20 16:38:08,143 INFO    MainThread:8824 [wandb_run.py:_console_start():1893] atexit reg
2022-07-20 16:38:08,144 INFO    MainThread:8824 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2022-07-20 16:38:08,144 INFO    MainThread:8824 [wandb_run.py:_redirect():1803] Wrapping output streams.
2022-07-20 16:38:08,145 INFO    MainThread:8824 [wandb_run.py:_redirect():1827] Redirects installed.
2022-07-20 16:38:08,145 INFO    MainThread:8824 [wandb_init.py:init():732] run started, returning control to user process
